,NAS _folder1,BioaccesioningId,SampleNaming,parentName,NAS_folder,group_name,imageGroupRid,rawImageKey,displayImageKey,title,imageMetadata,displayName,displayIdentifier,groupType,parentId,parentType,childId,childType,analyticId,analyticVersion,area,greenRing,greenAnnotation,redRing,redAnnotation,bftitle,redtitle,red_rawimagekey,greentitle,green_rawimagekey,title_0,title_1,title_2,title_3,parentId_check,title_5,6,well,channel,slice,row,column,WELL,s3_key,Day
138,Trial 1 images by sample/,501280,501280/ – > Tx 501280 Trial 1,Tx 501280 Trial 1,Day2 Bright Field Only/,Establishment Day 2 BF Only,7007f64e-7fd9-4cf5-984a-da7561f7dc7b,s3://xilishub-production/96bbcb22-b5a7-4537-b767-e5645f4a8516.tiff,s3://xilishub-production/96bbcb22-b5a7-4537-b767-e5645f4a8516.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day1 Bright Field Only/Well_A3_Ch1_1um,{},Establishment Day 2 BF Only,establishment_day_2_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",7007f64e-7fd9-4cf5-984a-da7561f7dc7b,group,96bbcb22-b5a7-4537-b767-e5645f4a8516,images,detect-objects-with-threshold,1.0.1,969.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501280,Day1 Bright Field Only,Well_A3_Ch1_1um,A3,Ch1,1um,A,03,A03,96bbcb22-b5a7-4537-b767-e5645f4a8516.tiff,Day 02
276,Trial 1 images by sample/,501280,501280/ – > Tx 501280 Trial 1,Tx 501280 Trial 1,Day3 Bright Field Only/,Establishment Day 3 BF Only,97fa3ab5-72fb-4222-84ee-d0cf68dbc592,s3://xilishub-production/dda65367-d602-42f8-a50f-1de35749e879.tiff,s3://xilishub-production/dda65367-d602-42f8-a50f-1de35749e879.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day3 Bright Field Only/Well_A5_Ch1_1um,{},Establishment Day 3 BF Only,establishment_day_3_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",97fa3ab5-72fb-4222-84ee-d0cf68dbc592,group,dda65367-d602-42f8-a50f-1de35749e879,images,detect-objects-with-threshold,1.0.1,1443.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501280,Day3 Bright Field Only,Well_A5_Ch1_1um,A5,Ch1,1um,A,05,A05,dda65367-d602-42f8-a50f-1de35749e879.tiff,Day 03
533,Trial 1 images by sample/,501280,501280/ – > Tx 501280 Trial 1,Tx 501280 Trial 1,Day4 Bright Field Only/,Establishment Day 4 BF Only,95c54f85-c075-43a8-8301-2612a0fff735,s3://xilishub-production/95901dba-f2e2-4a9e-afaa-0f1373d292b7.tiff,s3://xilishub-production/95901dba-f2e2-4a9e-afaa-0f1373d292b7.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day4 Bright Field Only/Well_A6_Ch1_1um,{},Establishment Day 4 BF Only,establishment_day_4_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",95c54f85-c075-43a8-8301-2612a0fff735,group,95901dba-f2e2-4a9e-afaa-0f1373d292b7,images,detect-objects-with-threshold,1.0.1,251.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501280,Day4 Bright Field Only,Well_A6_Ch1_1um,A6,Ch1,1um,A,06,A06,95901dba-f2e2-4a9e-afaa-0f1373d292b7.tiff,Day 04
903,Trial 1 images by sample/,501280,501280/ – > Tx 501280 Trial 1,Tx 501280 Trial 1,Day7 images/,Establishment Day 7,2cbf7c5c-4b85-4ed5-96eb-32894d8229cd,s3://xilishub-production/2f7f3fef-1688-4b10-817f-d11401787a25.tiff,s3://xilishub-production/2f7f3fef-1688-4b10-817f-d11401787a25.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day7 images/Well_A9_Ch3_1um,{},Establishment Day 7,establishment_day_7,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",2cbf7c5c-4b85-4ed5-96eb-32894d8229cd,group,2f7f3fef-1688-4b10-817f-d11401787a25,images,detect-objects-with-threshold,1.0.1,370.0,232981.0,43647.0,,,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day7 images/Well_A9_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day7 images/Well_A9_Ch2_1um,s3://xilishub-production/52dfdcc0-34ce-493b-ab58-e31db6589c4d-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day7 images/Well_A9_Ch1_1um,s3://xilishub-production/7b0436f9-f33d-4f53-ba44-637e7538f168-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501280,Day7 images,Well_A9_Ch3_1um,A9,Ch3,1um,A,09,A09,2f7f3fef-1688-4b10-817f-d11401787a25.tiff,Day 07
1306,Trial 1 images by sample/,501280,501280/ – > Tx 501280 Trial 1,Tx 501280 Trial 1,Day8 Images/,Establishment Day 8,4981d136-2f86-440b-ac9e-ad1254de19b1,s3://xilishub-production/241211e3-95aa-41c3-952d-c7524a13c833.tiff,s3://xilishub-production/241211e3-95aa-41c3-952d-c7524a13c833.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day 8 Live_Dead/Well_A10_Ch3_1um,{},Establishment Day 8,establishment_day_8,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",4981d136-2f86-440b-ac9e-ad1254de19b1,group,241211e3-95aa-41c3-952d-c7524a13c833,images,detect-objects-with-threshold,1.0.1,449.0,42012.0,3438.0,103468.0,8535.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day 8 LiveDead/Well_A10_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day 8 LiveDead/Well_A10_Ch2_1um,s3://xilishub-production/764d4512-907a-434b-9384-923744d88336-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day 8 LiveDead/Well_A10_Ch1_1um,s3://xilishub-production/7f483e54-6bda-4096-af96-bd3ca167004a-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501280,Day 8 Live_Dead,Well_A10_Ch3_1um,A10,Ch3,1um,A,10,A10,241211e3-95aa-41c3-952d-c7524a13c833.tiff,Day 08
1819,Trial 1 images by sample/,501280,501280/ – > Tx 501280 Trial 1,Tx 501280 Trial 1,Day9 images/,Establishment Day 9,a35ade41-ee98-4fa1-aa3c-5d9914f1fcec,s3://xilishub-production/7e944657-b54e-43e0-ae86-473edf60f008.tiff,s3://xilishub-production/7e944657-b54e-43e0-ae86-473edf60f008.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day 9 Live_Dead/Well_A11_Ch3_1um,{},Establishment Day 9,establishment_day_9,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",a35ade41-ee98-4fa1-aa3c-5d9914f1fcec,group,7e944657-b54e-43e0-ae86-473edf60f008,images,detect-objects-with-threshold,1.0.1,1310.5,61330.0,55448.0,80287.0,32383.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day 9 LiveDead/Well_A11_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day 9 LiveDead/Well_A11_Ch2_1um,s3://xilishub-production/1595e8e1-d151-4375-b19b-e253ae7a00cb-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day 9 LiveDead/Well_A11_Ch1_1um,s3://xilishub-production/b919ad5b-df49-4136-a2c3-4ca623ed860a-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501280,Day 9 Live_Dead,Well_A11_Ch3_1um,A11,Ch3,1um,A,11,A11,7e944657-b54e-43e0-ae86-473edf60f008.tiff,Day 09
2350,Trial 1 images by sample/,501280,501280/ – > Tx 501280 Trial 1,Tx 501280 Trial 1,Day10 Images/,Establishment Day 10,889765a3-d35c-4517-92d9-efe1d3421492,s3://xilishub-production/6516f483-67e8-488f-acd6-94e5679bd7a7.tiff,s3://xilishub-production/6516f483-67e8-488f-acd6-94e5679bd7a7.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day 10 Live_Dead/Well_A12_Ch3_1um,{},Establishment Day 10,establishment_day_10,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",889765a3-d35c-4517-92d9-efe1d3421492,group,6516f483-67e8-488f-acd6-94e5679bd7a7,images,detect-objects-with-threshold,1.0.1,863.0,281657.0,67727.0,116682.0,30797.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day 10 LiveDead/Well_A12_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day 10 LiveDead/Well_A12_Ch2_1um,s3://xilishub-production/06aff410-3bc5-4cdd-87fe-40466ee0027d-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501280/Day 10 LiveDead/Well_A12_Ch1_1um,s3://xilishub-production/fd1dde71-6935-4196-9b39-46eebe550a48-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501280,Day 10 Live_Dead,Well_A12_Ch3_1um,A12,Ch3,1um,A,12,A12,6516f483-67e8-488f-acd6-94e5679bd7a7.tiff,Day 10
2684,Trial 1 images by sample/,501281,501281/ – > Tx 501281 Trial 1,Tx 501281 Trial 1,Day0 Bright Field Only/,Establishment Day 0 BF Only,50183539-cf96-4cf6-bc10-346cd3d62a41,s3://xilishub-production/e73b7cf4-09f5-44d8-af4c-55730c5cb9f1.tiff,s3://xilishub-production/e73b7cf4-09f5-44d8-af4c-55730c5cb9f1.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day0 Bright Field Only/Well_B2_Ch1_1um,{},Establishment Day 0 BF Only,establishment_day_0_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",50183539-cf96-4cf6-bc10-346cd3d62a41,group,e73b7cf4-09f5-44d8-af4c-55730c5cb9f1,images,detect-objects-with-threshold,1.0.1,609.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501281,Day0 Bright Field Only,Well_B2_Ch1_1um,B2,Ch1,1um,B,02,B02,e73b7cf4-09f5-44d8-af4c-55730c5cb9f1.tiff,Day 00
2879,Trial 1 images by sample/,501281,501281/ – > Tx 501281 Trial 1,Tx 501281 Trial 1,Day1 Bright Field Only/,Establishment Day 1 BF Only,1df0c42e-8c28-413c-991a-e02c50a2933f,s3://xilishub-production/28586a8f-7f93-41b2-b33a-7631e714ec38.tiff,s3://xilishub-production/28586a8f-7f93-41b2-b33a-7631e714ec38.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day1 Bright Field Only/Well_B3_Ch1_1um,{},Establishment Day 1 BF Only,establishment_day_1_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",1df0c42e-8c28-413c-991a-e02c50a2933f,group,28586a8f-7f93-41b2-b33a-7631e714ec38,images,detect-objects-with-threshold,1.0.1,395.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501281,Day1 Bright Field Only,Well_B3_Ch1_1um,B3,Ch1,1um,B,03,B03,28586a8f-7f93-41b2-b33a-7631e714ec38.tiff,Day 01
3120,Trial 1 images by sample/,501281,501281/ – > Tx 501281 Trial 1,Tx 501281 Trial 1,Day2 Bright Field Only,Establishment Day 2 BF Only,5f03533b-39de-49bf-b25f-19d3410867a8,s3://xilishub-production/2d135b84-4f2b-4477-a940-671d936ada42.tiff,s3://xilishub-production/2d135b84-4f2b-4477-a940-671d936ada42.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501281/Day2 Bright Field Only/Well_B4_Ch1_1um,{},Establishment Day 2 BF Only,establishment_day_2_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",5f03533b-39de-49bf-b25f-19d3410867a8,group,2d135b84-4f2b-4477-a940-671d936ada42,images,detect-objects-with-threshold,1.0.1,283.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501281,Day2 Bright Field Only,Well_B4_Ch1_1um,B4,Ch1,1um,B,04,B04,2d135b84-4f2b-4477-a940-671d936ada42.tiff,Day 02
